freq_MHz,pri_us,pw_us,doa_deg,amp_dB,toa_us,cluster_id
8623.99,2225.65,43.44,254.48,-50.48,1557.53,0
8623.92,4888.0,43.44,255.13,-50.71,3783.18,1
8624.05,5754.21,43.44,254.87,-48.81,8671.17,2
8623.93,2225.65,43.44,254.38,-48.03,14425.38,0
8622.96,4888.0,43.44,256.03,-49.17,16651.03,1
8623.43,5754.21,43.44,256.04,-49.57,21539.03,2
8623.78,2225.65,43.44,253.75,-49.38,27293.24,0
8623.63,4888.0,43.44,253.53,-50.3,29518.88,1
8623.75,5754.21,43.44,254.97,-50.12,34406.88,2
8624.58,2225.65,43.44,255.6,-50.12,40161.09,0
8623.52,4888.0,43.44,256.09,-49.16,42386.73,1
8625.31,5754.21,43.44,255.17,-48.3,47274.73,2
8624.21,2225.65,43.44,254.99,-51.45,53028.94,0
8624.34,4888.0,43.44,254.06,-50.46,55254.59,1
8623.96,5754.21,43.44,254.63,-51.51,60142.58,2
8623.58,2225.65,43.44,255.84,-49.27,65896.79,0
8624.33,4888.0,43.44,255.08,-49.28,68122.44,1
8624.1,5754.21,43.44,254.74,-48.78,73010.43,2
8623.86,2225.65,43.44,254.14,-48.73,78764.65,0
8624.59,4888.0,43.44,253.33,-49.31,80990.29,1
11420.22,2480.66,17.75,32.87,-75.66,195668.32,5
10814.01,2480.66,17.75,35.53,-76.84,198148.98,3
9896.48,2480.66,17.75,34.03,-73.97,200629.64,4
11421.12,2480.66,17.75,35.06,-75.4,203110.3,5
10814.14,2480.66,17.75,34.36,-75.21,205590.96,3
9896.4,2480.66,17.75,33.97,-75.8,208071.61,4
11421.9,2480.66,17.75,34.56,-73.82,210552.27,5
10814.01,2480.66,17.75,36.03,-77.36,213032.93,3
9896.62,2480.66,17.75,34.48,-75.13,215513.59,4
11421.53,2480.66,17.75,33.69,-75.9,217994.25,5
10814.34,2480.66,17.75,34.75,-75.05,220474.91,3
9896.35,2480.66,17.75,34.8,-75.1,222955.57,4
11422.25,2480.66,17.75,34.53,-76.24,225436.22,5
10814.35,2480.66,17.75,34.64,-74.8,227916.88,3
9896.68,2480.66,17.75,34.01,-74.13,230397.54,4
11421.55,2480.66,17.75,34.44,-75.61,232878.2,5
